timestamp,device_id,temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,microphone_one,microphone_two
2026-03-12T12:58:50.578Z,IEMAA-IEMA-601-4-802,27.25,37.65,4.03,-0.71,3.57,35.55,41.34,73.75,47.90,53.74
2026-03-12T12:58:51.586Z,IEMAA-IEMA-601-4-802,35.38,24.69,2.24,2.58,3.65,89.93,-34.30,-86.68,44.99,84.89
2026-03-12T12:58:52.587Z,IEMAA-IEMA-601-4-802,30.79,32.04,2.09,0.93,-0.88,74.76,93.02,11.82,32.20,75.39
2026-03-12T12:58:53.601Z,IEMAA-IEMA-601-4-802,27.18,35.69,-0.92,2.23,3.55,-30.75,67.49,-40.47,54.58,50.62
2026-03-12T12:58:54.605Z,IEMAA-IEMA-601-4-802,21.69,22.34,-3.81,-0.02,-0.19,-93.79,-51.50,-66.79,57.38,56.67
2026-03-12T12:58:55.609Z,IEMAA-IEMA-601-4-802,33.25,34.38,4.32,-1.12,0.60,-96.56,47.55,-15.80,85.63,46.53
2026-03-12T12:58:56.611Z,IEMAA-IEMA-601-4-802,33.58,34.72,-3.78,-1.05,-4.28,-98.18,-79.61,56.64,80.98,34.87
2026-03-12T12:58:57.612Z,IEMAA-IEMA-601-4-802,33.20,29.55,-2.69,-4.29,2.30,9.37,98.03,-77.72,63.37,43.06
2026-03-12T12:58:58.624Z,IEMAA-IEMA-601-4-802,21.52,39.13,-2.44,0.21,2.28,-79.14,63.79,-63.34,86.11,62.89
2026-03-12T12:58:59.636Z,IEMAA-IEMA-601-4-802,38.38,27.08,1.69,-1.34,0.82,23.59,-23.30,-63.64,90.20,35.18
2026-03-12T12:59:00.645Z,IEMAA-IEMA-601-4-802,34.02,30.10,-3.10,3.72,1.91,1.21,37.21,16.91,52.37,72.48
2026-03-12T12:59:01.658Z,IEMAA-IEMA-601-4-802,29.86,24.94,2.06,-2.74,-1.26,-89.94,-61.60,68.75,43.90,56.15
2026-03-12T12:59:02.661Z,IEMAA-IEMA-601-4-802,27.18,35.77,-2.85,-3.04,0.41,6.47,68.86,-39.69,91.11,68.94
2026-03-12T12:59:03.670Z,IEMAA-IEMA-601-4-802,27.02,38.81,3.15,-2.74,2.46,-85.79,20.10,39.89,69.81,99.56
2026-03-12T12:59:04.670Z,IEMAA-IEMA-601-4-802,29.64,35.43,-3.63,-1.96,-4.77,-90.97,86.16,82.72,92.95,92.48
2026-03-12T12:59:05.675Z,IEMAA-IEMA-601-4-802,36.17,22.07,-3.91,1.48,-0.68,43.34,-76.46,4.41,56.20,56.80
2026-03-12T12:59:06.676Z,IEMAA-IEMA-601-4-802,23.01,20.74,-4.94,0.40,-2.70,-77.70,-32.29,-90.44,81.90,75.41
2026-03-12T12:59:07.692Z,IEMAA-IEMA-601-4-802,23.44,38.76,2.74,-3.67,4.21,23.99,51.02,71.90,70.55,31.92
2026-03-12T12:59:08.693Z,IEMAA-IEMA-601-4-802,28.63,23.18,1.16,1.64,2.49,53.13,-69.68,22.02,31.87,59.19
2026-03-12T12:59:09.696Z,IEMAA-IEMA-601-4-802,29.36,37.86,0.05,4.27,1.78,-67.05,-99.53,-93.73,41.76,85.66
2026-03-12T12:59:10.699Z,IEMAA-IEMA-601-4-802,39.41,36.27,0.43,4.25,3.81,89.66,-18.46,-53.55,32.93,46.27
2026-03-12T12:59:11.702Z,IEMAA-IEMA-601-4-802,38.85,22.70,-0.96,3.70,0.49,55.18,-35.03,-54.87,92.94,58.41
2026-03-12T12:59:12.706Z,IEMAA-IEMA-601-4-802,31.49,24.30,-2.66,-0.45,3.81,-19.26,-5.01,28.99,34.03,32.26
