timestamp,device_id,temperature_one,temperature_two,vibration_x,vibration_y,vibration_z,magnetic_flux_x,magnetic_flux_y,magnetic_flux_z,microphone_one,microphone_two
2026-03-13T13:01:18.192Z,IEMA-601-4-010,39.4,0,0,0,0,0,0,0,0,0
2026-03-13T13:02:06.487Z,IEMA-601-4-010,30.14,51,-1.15,1.002,1.645,5.42,-27.05,83.87,2435,2990
2026-03-13T13:02:36.489Z,IEMA-601-4-010,59.72,31.87,0.745,-0.98,-0.828,28.59,61.54,-26.94,2683,3884
2026-03-13T13:03:06.491Z,IEMA-601-4-010,39.07,44.69,0.795,0.437,0.738,-73.09,1.77,91.74,1967,3712
2026-03-13T13:03:36.500Z,IEMA-601-4-010,49.52,48.94,0.636,1.397,0.052,46.75,3.25,-80.19,2740,1786
2026-03-13T13:04:06.498Z,IEMA-601-4-010,49.42,51.34,-0.891,0.211,1.959,84.36,-0.83,-51.74,1323,590
2026-03-13T13:04:36.499Z,IEMA-601-4-010,52.95,44.44,0.097,0.394,-1.597,-70.05,-85.48,80.91,2492,3626
2026-03-13T13:05:06.501Z,IEMA-601-4-010,31.08,32.82,0.11,-1.844,1.18,64.59,-28.54,13.56,2143,1111
2026-03-13T13:05:36.503Z,IEMA-601-4-010,32.55,34.9,1.888,0.783,0.783,-41.92,-71.82,68.63,1962,1873
2026-03-13T13:06:06.506Z,IEMA-601-4-010,53.69,54.53,0.437,1.4,1.967,-69.03,17.79,18.34,2274,3672
2026-03-13T13:06:36.508Z,IEMA-601-4-010,51.82,53.76,-1.746,1.046,1.787,51.52,-22.57,-2.47,1273,1285
2026-03-13T13:07:06.510Z,IEMA-601-4-010,31,30.55,-1.061,-1.273,-0.733,87.9,28.35,55.06,251,2620
2026-03-13T13:07:36.513Z,IEMA-601-4-010,48.83,59.3,-0.532,1.195,0.035,-53.5,25.77,-38.26,2272,3525
2026-03-13T13:08:06.516Z,IEMA-601-4-010,47.92,52.24,0.777,-1.896,0.111,-86.47,32.03,-33.09,2668,2869
2026-03-13T13:08:36.518Z,IEMA-601-4-010,54.73,43.38,1.342,-0.385,-0.756,-98.06,76.43,-1.6,26,1222
2026-03-13T13:09:06.526Z,IEMA-601-4-010,37.67,34.98,-1.802,-1.784,0.399,-66.33,-43.09,-0.23,1513,2927
2026-03-13T13:09:36.527Z,IEMA-601-4-010,36.7,52.49,-0.795,1.841,1.822,2.65,-95.76,-99.93,2534,700
2026-03-13T13:10:36.528Z,IEMA-601-4-010,30.37,43.86,0.844,0.255,-0.968,45.9,-86.49,82.54,1838,1420
2026-03-13T13:11:06.531Z,IEMA-601-4-010,38.65,55.1,-1.053,0.374,-1.472,96.43,-72.21,65.81,1580,2782
2026-03-13T13:11:36.533Z,IEMA-601-4-010,44.89,55.33,-1.65,1.659,0.128,55.44,-35.67,90.06,2101,1961
2026-03-13T13:12:06.535Z,IEMA-601-4-010,58.03,56.17,1.073,0.776,-1.748,-12.48,38.92,76.83,1581,3142
2026-03-13T13:12:36.536Z,IEMA-601-4-010,34.32,41.84,-0.987,1.096,0.536,85.73,85.1,-46.08,2652,1885
2026-03-13T13:13:06.541Z,IEMA-601-4-010,50.14,38.97,-1.658,-1.162,0.948,2,-39.06,23.31,2617,2817
2026-03-13T13:13:36.542Z,IEMA-601-4-010,52.68,49.27,-1.215,-0.446,0.636,8.75,77.02,-27.17,3475,200
2026-03-13T13:14:36.550Z,IEMA-601-4-010,40.84,37.85,-0.501,-0.823,-1.164,-9.13,-84.03,-94.41,3524,2647
2026-03-13T13:15:06.549Z,IEMA-601-4-010,54.54,48.79,0.614,-0.293,-1.16,53.95,3.64,21.27,2119,2973
2026-03-13T13:15:36.551Z,IEMA-601-4-010,44.77,47.79,-1.44,0.954,0.457,11.01,-82.94,-37.17,1502,1026
2026-03-13T13:16:06.553Z,IEMA-601-4-010,30.05,47.6,-0.802,-1.671,1.894,-80.17,-38.58,13.37,1026,370
2026-03-13T13:16:36.555Z,IEMA-601-4-010,56.56,37.39,0.036,-0.515,0.794,-60.09,29.15,19.09,2384,1741
2026-03-13T13:17:06.558Z,IEMA-601-4-010,38.1,47,-1.422,-1.186,-1.751,44.75,-54.2,-32.35,1888,830
2026-03-13T13:17:36.559Z,IEMA-601-4-010,34.11,48.49,1.895,0.643,-1.698,-6.53,-16.52,-35.57,764,3643
2026-03-13T13:18:06.561Z,IEMA-601-4-010,31.88,34.44,-0.244,-1.048,0.61,28.3,97.27,-68.39,3223,1444
2026-03-13T13:18:36.563Z,IEMA-601-4-010,30.75,47.58,-1.862,-1.299,1.124,-7.03,85.13,-50.61,542,948
2026-03-13T13:19:06.567Z,IEMA-601-4-010,51.81,43.46,0.766,0.192,1.563,-72.91,4.08,1.21,2421,205
2026-03-13T13:19:36.570Z,IEMA-601-4-010,41.58,54.94,0.801,0.397,-0.979,34.19,50.05,-44.29,3876,2202
2026-03-13T13:20:06.573Z,IEMA-601-4-010,57.07,44.67,-0.323,0.712,1.3,-74.31,99,-18.1,1597,822
2026-03-13T13:20:36.575Z,IEMA-601-4-010,59.61,50.18,-0.861,-1.007,1.504,72.76,53.03,-58.63,657,3918
2026-03-13T13:21:06.578Z,IEMA-601-4-010,46.6,53.53,-0.718,-1.343,0.836,-46.95,-0.9,15.38,3942,426
2026-03-13T13:21:36.583Z,IEMA-601-4-010,32.65,58.28,-1.361,1.527,-1.006,8.14,97.17,41.62,2332,2549
2026-03-13T13:22:06.586Z,IEMA-601-4-010,32.41,34.44,-0.132,0.399,1.207,-12.68,55.12,-87.19,1960,1732
2026-03-13T13:22:36.589Z,IEMA-601-4-010,36.97,35.04,-0.805,-0.784,1.119,-29.68,77.38,41.25,3074,2106
2026-03-13T13:23:06.591Z,IEMA-601-4-010,44.48,35.87,-1.897,1.661,-1.953,-36.37,-25.85,-86.94,23,2386
2026-03-13T13:23:36.594Z,IEMA-601-4-010,31.18,38.55,-1.647,1.852,1.067,95.31,-84.4,-76.87,1064,3115
2026-03-13T13:24:06.596Z,IEMA-601-4-010,44.95,45.88,-0.084,1.37,0.59,47.94,53.94,80.21,775,2833
2026-03-13T13:24:36.598Z,IEMA-601-4-010,42.09,51.76,-0.818,1.024,0.345,75.07,-70.43,75.8,2060,2352
2026-03-13T13:25:06.600Z,IEMA-601-4-010,48.6,57.1,-1.795,1.622,1.767,-97.26,37.7,-64.78,1394,1048
2026-03-13T13:26:06.604Z,IEMA-601-4-010,50.03,59.54,-0.387,0.25,0.528,-4.81,-37.89,-52.2,1243,1798
2026-03-13T13:26:36.607Z,IEMA-601-4-010,36.18,47.34,-1.771,0.946,1.86,29.11,51.44,3.92,914,1136
2026-03-13T13:27:06.609Z,IEMA-601-4-010,34.08,36.29,1.996,-1.186,1.189,-90.01,-15.35,-84.63,1663,3974
